"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)","301","n/e","n/e","71","169","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","892","445"
"BZN|DK2","03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)","299","n/e","n/e","75","181","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","898","444"
"BZN|DK2","03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST)","302","n/e","n/e","74","194","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","885","430"
"BZN|DK2","03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST)","296","n/e","n/e","76","197","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","868","409"
"BZN|DK2","03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST)","340","n/e","n/e","83","205","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","70","857","359"
"BZN|DK2","03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST)","392","n/e","n/e","83","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","69","814","317"
"BZN|DK2","03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST)","405","n/e","n/e","80","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","63","785","290"
"BZN|DK2","03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST)","411","n/e","n/e","81","204","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","85","59","751","290"
"BZN|DK2","03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST)","463","n/e","n/e","80","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","125","68","709","267"
"BZN|DK2","03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST)","499","n/e","n/e","82","200","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","131","69","627","256"
"BZN|DK2","03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","508","n/e","n/e","126","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","107","68","480","228"
"BZN|DK2","03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","519","n/e","n/e","141","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","68","68","355","176"
"BZN|DK2","03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","550","n/e","n/e","174","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","16","68","297","124"
"BZN|DK2","03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","556","n/e","n/e","166","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","295","118"
"BZN|DK2","03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","552","n/e","n/e","163","200","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","278","128"
"BZN|DK2","03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","584","n/e","n/e","172","200","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","256","132"
"BZN|DK2","03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","441","n/e","n/e","135","194","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","315","152"
"BZN|DK2","03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","521","n/e","n/e","130","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","269","191"
"BZN|DK2","03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","523","n/e","n/e","77","195","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","305","184"
"BZN|DK2","03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","474","n/e","n/e","76","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","317","199"
"BZN|DK2","03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","455","n/e","n/e","75","195","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","364","237"
"BZN|DK2","04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","377","n/e","n/e","75","195","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","491","272"
